Samples,Accuracy,F1
100000,0.9089978353712046, 0.9133160578450221
200000,0.942227812554847, 0.9444928473061466
300000,0.9570584449774762, 0.9586035756584513
400000,0.9606564090563389, 0.9618428891599762
500000,0.9608319194992102, 0.9619331911869226
600000,0.9612706956063886, 0.9623671195497697
700000,0.9615339612706956, 0.9626027358302761
800000,0.9656877084186509, 0.9667186835012058
900000,0.9665945123734863, 0.9675918043021738
1000000,0.9661849880067864, 0.9671628224065447
1100000,0.9678523372140643, 0.9687987962410924
1200000,0.9685543789855496, 0.9694853671690936
1300000,0.9692271690165565, 0.9701458652590953
1400000,0.9693441759784707, 0.970256002724641
1500000,0.969724448604692, 0.9706241307864786
1600000,0.9701339729713918, 0.9710280639028405
1700000,0.9700462177499561, 0.9709454091476564
1800000,0.9707775112619201, 0.971673235602688
1900000,0.9723863569882408, 0.9732699059916186
2000000,0.9737319370502545, 0.9745925758261657
2100000,0.9747264962265255, 0.9755752812800362
2200000,0.9758965658456679, 0.9767100056529112
2300000,0.9770958872052887, 0.9778857288106871
2400000,0.9768326215409817, 0.9776283825772555
2500000,0.9766278593576317, 0.9774121505102762
2600000,0.9764523489147604, 0.9772232125173301
2700000,0.9769203767624174, 0.977687282599474
2800000,0.9772128941672029, 0.9779738174004015
2900000,0.9772713976481601, 0.9780303672915429
3000000,0.9773591528695957, 0.9781158109025108
3100000,0.9772421459076815, 0.9779952483312592
3200000,0.9782659568244311, 0.9789988411204387
3300000,0.9782074533434739, 0.9789423104101304
3400000,0.9784707190077809, 0.9791996382545783
3500000,0.9788802433744808, 0.9796068240876737
3600000,0.9787924881530451, 0.9795180382518293
3700000,0.9787632364125666, 0.9794903666873834
3800000,0.9787047329316094, 0.979424566163586
3900000,0.9784122155268239, 0.9791372194266976
4000000,0.9790265020768736, 0.9797406120200051
4100000,0.9791727607792664, 0.9798870056497175
4200000,0.9792312642602234, 0.979944635896277
4300000,0.9791435090387878, 0.9798547735427909
4400000,0.9791142572983093, 0.9798282291784383
4500000,0.9792897677411806, 0.9799966095948466
4600000,0.9796700403674019, 0.980372221751532
4700000,0.9796700403674019, 0.9803733303210866
4800000,0.9794652781840519, 0.9801717320076827
4900000,0.9798455508102732, 0.9805438680710473
5000000,0.9798748025507518, 0.9805616771204159
5100000,0.9803428303984087, 0.9810244536059186
5200000,0.9802843269174516, 0.9809701281834096
5300000,0.9800795647341016, 0.980765428611778
5400000,0.9802550751769731, 0.9809381265708396
5500000,0.9805183408412801, 0.9811928159945781
5600000,0.9803428303984087, 0.9810233819044392
5700000,0.9806938512841514, 0.9813685636856369
5800000,0.9808693617270228, 0.9815389826680969
5900000,0.9808401099865443, 0.9815071007086592
6000000,0.9808108582460656, 0.9814772983962051
6100000,0.9808986134675013, 0.9815656494368066
6200000,0.9811326273913298, 0.9817935472944365
6300000,0.9814251447961154, 0.982078853046595
6400000,0.9816006552389868, 0.9822471846687929
6500000,0.9815421517580296, 0.982192747283759
6600000,0.9816299069794653, 0.9822739076436716
6700000,0.9817761656818581, 0.9824145425805176
6800000,0.9818346691628151, 0.9824709966974342
6900000,0.982244193529515, 0.9828729437656951
7000000,0.9823026970104721, 0.9829293755819531
